id;name;author_name;inventory_status;original_price;discount;price;discount_rate;rating_average;review_count;quantity_sold;type_book;book_cover
193640456;VBT Toán 1/2 (Cánh Diều) (2022);nhieu tac gia;available;14000;0;14000;0;0.0;0;;sach_giaokhoa;
193555475;Bài Tập Ngữ Văn 6/2 (Kết Nối) (2022);nhieu tac gia;available;14000;0;14000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
193555515;Bài Tập Ngữ Văn Lớp 9 - Tập 1;Nguyễn Khắc Phi;available;11000;0;11000;0;0.0;0;;sach_giaokhoa;
193555768;VBT Khoa Học 5 (2022);nhieu tac gia;available;10000;0;10000;0;0.0;0;;sach_giaokhoa;
193555819;Luyện Viết 2/1 (Cánh Diều) (2022);nhieu tac gia;available;11000;0;11000;0;0.0;0;;sach_giaokhoa;
119309642;Bình Luận Án Lệ Đầu Tư Quốc Tế Và Việc Áp Dụng Án Lệ Đầu Tư Quốc Tế Tại Việt Nam;Nguyễn Thị Anh Thơ;available;139000;6950;132050;5;0.0;0;;sach_giaokhoa;
193555543;Mĩ Thuật 2 (Cánh Diều) (2022);nhieu tac gia;available;15000;0;15000;0;0.0;0;;sach_giaokhoa;
193395602;Xử Lý Tín Hiệu Số - Tập 1;;available;164000;0;164000;0;0.0;0;;sach_giaokhoa;Bìa mềm
111385906;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let’s Start Μaths 6 Workbook;;available;305000;0;305000;0;0.0;0;;sach_giaokhoa;Bìa mềm
111371291;Vector: Sách hệ Singapore - Học toán bằng tiếng Anh - Let's Start! Maths 5 Student's Book;;available;395000;0;395000;0;0.0;0;;sach_giaokhoa;Bìa mềm
193555549;Toán 6/1 (Cánh Diều) (2022);nhieu tac gia;available;24000;0;24000;0;0.0;0;;sach_giaokhoa;
193555600;Luyện Viết 1/1 (Cánh Diều) (2022);nhieu tac gia;available;9000;0;9000;0;0.0;0;;sach_giaokhoa;
193857981;Bài Tập Vật Lí 11 (2022);nhieu tac gia;available;18000;0;18000;0;0.0;0;;sach_giaokhoa;
193640157;Bài Tập Ngữ Văn 6/1 (Kết Nối) (2022);nhieu tac gia;available;13000;0;13000;0;0.0;0;{'text': 'Đã bán 1', 'value': 1};sach_giaokhoa;
194451537;VBT Đạo Đức 4 (2022);nhieu tac gia;available;5000;0;5000;0;0.0;0;;sach_giaokhoa;
193555472;Bài Tập Tin Học 11 (2022);nhieu tac gia;available;8000;0;8000;0;0.0;0;;sach_giaokhoa;
